,Names,Discord Nick,Steam ID,Elo 1v1, Elo tg
99,Simvall,Simvall,76561198219196057,1852,1738
100,MLT | Apo,MLT | Apo,76561197972858063,1427,1471
101,KTM || Giovigiova,Giovigiova,76561198097356813,1386,1064
102,MLT | 12castori,MLT | 12castori,76561198052311326,1592,1524
103,MLT | ArciereNapoletano,MLT | ArciereNapoletano,76561198889864630,1505,1377
104,MLT | Badibba,MLT | Badibba,76561198039650359,1365,1324
105,MLT | Bix4Qlimax,MLT | Bix4Climax,76561198055580397,1431,1413
106,MLT | dawson07,MLT | Dawson07,76561199066216060,1188,1095
107,Francecle91,MLT | Francecle91,-1,1400,1400
108,MLT | GerryPrime,MLT | GerryPrime,,1400,1400
109,MLT | GinLemon,MLT | GinLemon,76561199126745651,1373,1166
110,MLT | JimmyPage_9,MLT | JimmyPage,76561198145609157,1453,1316
111,MLT | LEO.SDR,MLT | LEO.SDR,76561199240568121,1336,1245
112,MLT | Mandrake,MLT | Mandrake,76561199068570016,1405,1225
113,MLT | Mr.Mordibiello,MLT | Mr.Mordibiello,76561198064050309,1350,1150
114,MLT | Paolo Turco,MLT | Paolo Turco,76561199048480607,1231,1101
115,MLT | Guillet Amed,MLT | Guillet Amed,76561199162286191,1146,1362
116,MLT | Jerich0,MLT | Jerich0,,1400,1400
117,Null,MLT | Null,76561198143302044,1384,1832
118,MLT | Cyuffo,MLT | Cyuffo,76561198263472376,1495,1387
119,MLT | Sessagesimale,MLT | Sessagesimale,76561198417492609,1764,1661
120,[EVA] DOC,[EVA] DOC,76561198335294512,1029,1138
121,[EVA] FIKO,[EVA] FIKO,76561198065790219,1283,1124
122,Aik,Aik,,1400,1400
123,belphy,Belphy,76561199061618195,1453,1376
124,bossayan,bossayan,76561199021952709,1076,1263
125,Buck,Buck,76561199050258507,1179,1273
126,EVA | Jayce,Jayce,76561198090923390,1805,1519
127,EVA | Lord Kelvin,Lord_Kelvin,76561198045005945,1418,1354
128,EVA_luce990,Luce990,76561198061720901,1239,1298
129,Neisaroc,Neisaroc,76561198882033114,1250,1129
130,PlayerZX,PlayerZX,76561198963991599,1690,977
131,EVA_Rinocherino,Rinocherino,76561198002665847,1431,1441
132,Shul,Shul,76561199039593464,1365,1364
133,UGottaBKidding,UGottaBKidding,76561198031144098,1428,1342
134,Principe,Principe,-1,1400,1400
135,John Sparrow [ITA],John Sparrow,76561198137306881,950,1072
136,Yuffo,Yuffo,76561198410273154,1035,1165
137,Desert Fox,Desert Fox,76561198260590218,1203,1022
138,Pescio,Pescio,,1400,1400
139,GamEttoTv,Gametto,76561198156249512,1131,1074
140,IraFunesta,IraFunesta,76561198054932927,1454,1393
141,EVA | Lucio,EVA | Lucio,76561198068848643,1437,1455
142,HSL | Boemo88,EVA | Boemo,76561198273222772,1357,996
143,GdR_Griffith,GdR_Griffith,76561198072470029,1508,1373
144,GdR_Cillo,GdR_Cillo,76561198134653573,1210,1080
145,GdR Ka,GdR Ka,76561199173475606,1364,1474
146,GdR_Tonno,GdR Tonno,76561198033799478,1384,1425
147,fedec94,fedec94,,1400,1400
148,GdR_ gambasimo95,gambasimo95,76561198406813870,1374,1448
149,GdR Malammor,GdR Malammor,76561198392044375,1325,1009
150,GdR_Nonno di heidi,GdR Nonno di Heidi,76561198077767462,1473,1491
151,GdR Polpo,GdR Polpo,,1400,1400
152,GdR_xsha,GdR XSha,76561198087251398,1419,1304
153,GdR_Condomttiero,GdR Condomttiero,76561198205647345,1423,1177
154,GdR_Macdek II,GdR MacDek II,76561198026495303,1447,1409
155,GdR_Mugudai,GdR Mugudai,76561198038938603,1386,1610
156,GdR_Scugo,GdR Scugo,76561198387158548,1640,1743
157,GdR_Pier1204,GdR Pier1204,76561198165979874,1440,1613
158,GdR_Salinaro,GdR Salinaro,76561198343233729,1298,1463
159,GdR_Qara Polemos,GdR Polemos,76561198830046739,1546,1569
160,GdR Taccio,GdR Taccio,,1400,1400
161,GdR Lordciccio,GdR Lordciccio,,1400,1400
162,GdR_TARABS,Tarabs,76561198070046408,808,813
163,maxpower97,GdR Mark Landers,76561198258402488,1349,1521
164,GdR_Nduja,GdR Monesi,76561199432375800,1268,1328
165,GdR OLY,GdR OLY,76561198044288036,1227,1493
166,GdR Crytec,GdR Crytec,,1400,1400
167,ViDo,ViDo,76561198086267249,1729,1530
168,Vpiallotutti,GdR Fantozzi,76561199063826557,1444,1490
169,GdR_xShinigami,GdR xShinigami,76561199209733196,1644,1430
170,ente,ente,,1400,1400
171,antonio23,antonio23,,1400,1400
172,shenk,shenk,76561198346324382,1329,1265
173,GdR_DeathKnight,GdR_DeathKnight,76561198359160959,1335,915
174,GdR Jimbo,GdR Jimbo,,1400,1400
